Компотик  из Ранеток;Для приготовления сиропа в воду добавь сахар и соль. ;Доведи смесь до кипения, а затем остудите.;На дно каждой банки выложи по 2 листа смородины.;Затем уложи яблоки хвостиками вниз и каждый слой перекладывай листьями.;Фрукты залей остывшим сиропом и закрой плотной крышкой.;Оставь яблоки при комнатной температуре на 3 дня, а потом перемести в прохладное место.;
Комфортик-компотик;"В кастрюлю влей воду, добавь сахар, ванильный сахар, гвоздику, вскипяти и провари до растворения сахара.
";В кипящий сироп положи яблоки и провари на медленном огне 5 минут.;Разложи яблоки в подготовленные стерилизованные банки и залей банки доверху горячим сиропом, закрой стерильными крышками и закатай.;;;;
Компотик «Кислотный рейв»;Груши помой, разрежь, удали хвостики и сердцевинки.;Из лимона выдави сок.;В подготовленные стерилизованные банки выложи груши.;Залей груши кипятком до верха банок, накрой крышками и оставь на 30 минут.;Слей воду с груш в кастрюлю, добавь сахар, лимонный сок и вари сироп примерно 5 минут с момента закипания.;Снова залей груши сиропом, закрой стерилизованными крышками и закатай.;
Компотик «Сливки общества»;Сливы хорошенько помой, разрежь на половинки и удали косточки.;Уложи сливы в подготовленные стерилизованные банки. Вскипяти воду и аккуратно залей сливы в банках.;Оставь на 15 минут, затем слей воду назад в кастрюлю и доведи ее до кипения.;Добавь сахар, перемешай и вари до его растворения.;Залей сахарным сиропом сливы и закатай стерилизованными крышками.;;
Компотик «Дионис»;Виноград тщательно помой, отдели от веточек.;Наполни виноградом подготовленные банки примерно на 3/4.;Кипятком наполни банки до края, накрой крышками и оставь на 5-10 минут.;Затем слей воду с винограда назад в кастрюлю и снова вскипяти.;В банки с виноградом всыпь по 1 стакану сахара.;Снова залей банки кипятком до самого верха, закрой стерильными крышками и закатай.;
Айвовый компотик;Айву тщательно очисти от мохнатого налета и помой.;Разрежь айву на дольки и очисти от сердцевинок и червоточины.;В кастрюле вскипяти воду и помести в нее айву.;Провари 5 минут, затем добавь сахар, перемешай и вари еще 5-7 минут на медленном огне.;Следи, чтобы айва не разварилась.;Выложи айву в подготовленные стерилизованные банки, залей доверху сиропом и закатай.;
Компотик «Кровавая Мэри»;Небольшие твердые, зеленые или красные помидоры ошпарить, сполоснуть холодной водой и сразу же снять кожицу.;Айву натереть на терке, положить в кипящую воду вместе с сахаром и имбирем, проварить.;В горячий сироп частями опустить помидоры, обварить, шумовкой переложить в порционную посуду, залить сиропом.;Подавать холодным, можно со взбитыми сливками.;;;
Компотик «Питоняшка»;Хорошо вымыть кизил и груши проточной водой.;Каждую грушу разрезать и удалить хвостики.;В чистую банку высыпать груши, сверху — кизил.;Вскипятить воду в кастрюле, залить фрукты на 20 минут, банку прикрыть крышкой.;Спустя время слить воду в кастрюлю, добавить сахар и довести до кипения.;Лимонную кислоту засыпать прямо в банку с фруктами.;В банку вылить кипящий сироп, закрутить банку и перевернуть на крышку.
Хэллоуинпотик;Тыкву порежь на мелкие кусочки (кубиками около 1 см).;Завари лимон и выжми из него сок.;Налей в кастрюлю воду, добавь сахар и добавь лимонный сок.;Доведи до кипения.;Когда смесь пузырится, можешь добавить кусочки тыквы к ней.;Тыквы должны быть приготовлены до готовности, чтобы отпустить сок.;
"Компотик ""Рыжая чикса""";Абрикосы тщательно вымой.;После чего раздели абрикосы на половинки, удаляя косточки.;Апельсин хорошо вымой в горячей воде и нарежь полукружочками, косточки убери.;В каждую банку уложи подготовленные абрикосы и апельсин, заполняя их на треть.;Свари сироп из воды и сахара.;Как только сахар растворится, тут же кипящим сиропом залей абрикосы с апельсином.;Сразу закатай банки крышками.
«В рот компот»: очень вкусный;Фрукты помыть.;Персики и дыню порезать на дольки, нектарины - кружочками.;Выложить в банку.;Залить кипятком и дать постоять минут 10.;Затем слить воду в кастрюлю, добавить сахар, довести до кипения и кипятить 5-7 минут.;;
Ягодный компотик «Baby-girl»;Клубнику и черешню помой, очисти от листиков и косточек.;В кастрюле вскипяти воду.;Добавь в кастрюлю ягоды, по желанию добавь сахар.;Вари 7-10 минут.;Готовый компотик охлади перед подачей.;;
Компотик из кринжовника «Мохито»;Промойте крыжовник.;Переложите ягоды в банку, добавьте кружочки лайма или лимона и веточки мяты.;Залейте кипятком до самого горлышка банки и накройте стерилизованной крышкой, оставьте на 5 мин.;Перелейте воду из банки в кастрюлю, добавьте сахар и поставьте на огонь, доведите до кипения и варите сироп 5 мин.;Залейте ягоды сиропом и сразу же закрутите крышку.;;
Арбузовый компотик «Яркая кокетка»;Перед закипанием воды, услышав характерное подпевание кастрюли, добавь очищенные яблоки кусочками.;Подожди две-три минутки и добавь голубику к яблочкам.;Нарежь арбузик и добавь в кастрюлю.;Добавь  горсть ежевики, ложечку сливового варенья и сахар.;Подождать 7-10 мин. до кипения.;Готовый компотик охлади, можно подавать со льдом.;
Еловый компотик: для тех, у кого дома из еды только елка;Сорви побег ели и тщательно промой.;Положи побеги в кастрюлю и залей водой.;Подожди 5-7 мин. до кипения.;Добавь сахар и сок лимона.;Дай компотику настояться.;Подавай компотик охлажденным. Наслаждайся хвойным ароматом!;
